"YEAR","MONTH","JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2023,"01","NSW","Inner Regional Australia","26-39","No","Stage 2","1","1","0","0","0","0","0","Not applicable",12,2,0,10
2023,"01","NSW","Inner Regional Australia","26-39","Yes","Stage 3","0","0","0","0","0","0","1","Not applicable",3,1,0,2
2023,"01","NSW","Inner Regional Australia","26-39","Yes","Stage 3","0","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",40,18,0,22
2023,"01","NSW","Inner Regional Australia","26-39","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",30,13,0,17
2023,"01","NSW","Inner Regional Australia","26-39","Yes","Stage 3","1","0","0","1","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","Yes","Stage 3","1","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","26-39","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",21,5,0,16
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 1","0","0","1","0","0","0","0","Not applicable",2,2,0,0
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 1","0","1","0","0","0","0","0","Not applicable",20,12,0,8
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 1","0","1","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 1","1","0","0","0","0","0","0","Not applicable",41,9,0,32
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 1","1","0","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 1","1","1","0","0","0","0","0","Not applicable",10,0,0,10
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 1","1","1","1","0","0","0","0","Not applicable",2,0,0,2
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 2","0","0","0","0","0","0","0","Not applicable",5,3,0,2
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 2","0","0","0","0","0","0","1","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 2","0","0","1","0","0","0","0","Not applicable",2,2,0,0
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 2","0","1","0","0","0","0","0","Not applicable",18,10,0,8
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 2","1","0","0","0","0","0","0","Not applicable",34,9,0,25
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 2","1","0","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","40-64","No","Stage 2","1","1","0","0","0","0","0","Not applicable",16,1,0,15
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","0","0","0","0","0","0","1","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","0","0","1","0","0","0","0","Not applicable",2,2,0,0
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",18,12,0,6
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","0","1","1","0","0","0","0","Not applicable",1,1,0,0
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","1","0","0","0","0","0","0","Not applicable",28,8,0,20
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","1","0","0","1","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","1","0","1","0","0","0","0","Not applicable",2,1,0,1
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",23,1,0,22
2023,"01","NSW","Inner Regional Australia","40-64","Yes","Stage 3","1","1","1","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","65+","No","Stage 1","0","1","0","0","0","0","0","Not applicable",4,2,0,2
2023,"01","NSW","Inner Regional Australia","65+","No","Stage 1","1","0","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","65+","No","Stage 2","0","1","0","0","0","0","0","Not applicable",4,2,0,2
2023,"01","NSW","Inner Regional Australia","65+","No","Stage 2","1","1","0","0","0","0","0","Not applicable",1,0,0,1
2023,"01","NSW","Inner Regional Australia","65+","Yes","Stage 3","0","1","0","0","0","0","0","Not applicable",4,2,0,2
2023,"01","NSW","Inner Regional Australia","65+","Yes","Stage 3","1","1","0","0","0","0","0","Not applicable",1,0,0,1
